code,description
W29,Tiếp xúc với dụng cụ thủ công có động cơ khác và máy nội trợ
W30,Tiếp xúc với máy nông nghiệp
W31,Tiếp xúc với máy khác không rõ đặc điểm
W32,Đạn súng tay
W33,"Đạn súng có rãnh xoắn, súng ngắn, súng dài"
W34,Đạn của súng tay khác không rõ đặc điểm
W35,Nổ vỡ bình hơi nước
W36,"Nổ, vỡ bình ga"
W37,"Nổ và vỡ lốp, ống dẫn hay vòi có điều hòa áp lực"
W38,Nổ và vỡ các dụng cụ khác không rõ đặc điểm có điều hòa áp lực
W39,Nổ pháo hoa
W40,Nổ vật tư khác
Z84,Tiền sử gia đình có các bệnh khác
Z84.0,Tiền sử gia đình có các bệnh về da và tổ chức dưới da
Z84.1,Tiền sử gia đình có các rối loạn về thận và niệu quản
Z84.2,Tiền sử gia đình có các bệnh thuộc hệ sinh dục tiết niệu
Z84.3,Tiền sử gia đình có các bệnh về huyết thống
Z84.8,Tiền sử gia đình có các bệnh đặc hiệu khác
Z85,Tiền sử cá nhân có khối u ác tính
Z85.0,Tiền sử cá nhân có u ác tính của cơ quan tiêu hóa
Z85.1,"Tiền sử cá nhân có khối u ác tính ở khí quản, phế quản và phổi"
Z85.2,Tiền sử cá nhân có khối u ác tính ở các cơ quan hô hấp và các cơ quan khác trong lồng ngực
Z85.3,Tiền sử cá nhân có khối u ác tính ở vú
Z85.4,Tiền sử cá nhân có u ác tính ở các cơ quan sinh dục
Z85.5,Tiền sử cá nhân có u ác tính của đường tiết niệu
Z85.6,Tiền sử cá nhân có bệnh bạch cầu
Z85.7,"Tiền sử cá nhân có u ác tính hệ lympho, cơ quan tạo máu và tổ chức tạo máu"
Z85.8,Tiền sử cá nhân có khối u ác tính ở các cơ quan và hệ thống khác
Z85.9,"Tiền sử cá nhân có khối u ác tính, không đặc hiệu"
Z86,Tiền sử cá nhân có một số bệnh khác
Z86.0,Tiền sử cá nhân có các khối u khác
